date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
9/7/2015,Pulses (Rs/Kg)_Cowpea,217,175,230,108.2,4.39,0,55,202.5
9/7/2015,Pulses (Rs/Kg)_Red Dhal,180,170,188,108.2,4.39,0,18,179
9/7/2015,Pulses (Rs/Kg)_Green Gram,189,185,190,108.2,4.39,0,5,187.5
9/7/2015,Rice (Rs/kg)_Nadu 1,68,66,70,108.2,4.39,0,4,68
9/7/2015,Onion (Rs/Kg)_Sinnan,55,50,60,108.2,4.39,0,10,55
9/7/2015,Rice (Rs/kg)_Nadu 2,63.6,62,65,108.2,4.39,0,3,63.5
9/7/2015,Onion (Rs/Kg)_Vedalan,86,80,90,108.2,4.39,0,10,85
9/7/2015,Rice (Rs/kg)_Samba 2,85.4,85,86,108.2,4.39,0,1,85.5
9/7/2015,Rice (Rs/kg)_Samba 1,92.8,90,94,108.2,4.39,0,4,92
9/9/2015,Potatoes (Rs/Kg)_Welimada,90,85,95,108.2,2.14,0,10,90
9/9/2015,Potatoes (Rs/Kg)_Nuwaraeliya,107,105,110,108.2,2.14,0,5,107.5
9/9/2015,Pulses (Rs/Kg)_Green Gram,188,185,190,108.2,2.14,0,5,187.5
9/9/2015,Pulses (Rs/Kg)_Cowpea,218,175,230,108.2,2.14,0,55,202.5
9/9/2015,Pulses (Rs/Kg)_Red Dhal,179.8,170,186,108.2,2.14,0,16,178
9/9/2015,Rice (Rs/kg)_Samba 2,84.4,83,85,108.2,2.14,0,2,84
9/9/2015,Rice (Rs/kg)_Samba 1,92.4,90,95,108.2,2.14,0,5,92.5
9/9/2015,Rice (Rs/kg)_Nadu 1,68.3334,67,70,108.2,2.14,0,3,68.5
9/9/2015,Onion (Rs/Kg)_Vedalan,87,80,90,108.2,2.14,0,10,85
9/9/2015,Rice (Rs/kg)_Nadu 2,64.2,63,65,108.2,2.14,0,2,64
9/9/2015,Onion (Rs/Kg)_Sinnan,66.67,60,70,108.2,2.14,0,10,65
9/10/2015,Pulses (Rs/Kg)_Green Gram,187,185,190,108.2,8.06,0,5,187.5
9/10/2015,Pulses (Rs/Kg)_Red Dhal,180.2,170,187,108.2,8.06,0,17,178.5
9/10/2015,Pulses (Rs/Kg)_Cowpea,230,225,235,108.2,8.06,0,10,230
9/10/2015,Potatoes (Rs/Kg)_Welimada,82,75,85,108.2,8.06,0,10,80
9/10/2015,Potatoes (Rs/Kg)_Nuwaraeliya,96,90,100,108.2,8.06,0,10,95
9/10/2015,Rice (Rs/kg)_Samba 2,84.4,83,85,108.2,8.06,0,2,84
9/10/2015,Onion (Rs/Kg)_Sinnan,65,60,70,108.2,8.06,0,10,65
9/10/2015,Rice (Rs/kg)_Nadu 1,68.75,67,70,108.2,8.06,0,3,68.5
9/10/2015,Onion (Rs/Kg)_Vedalan,88,85,90,108.2,8.06,0,5,87.5
9/10/2015,Rice (Rs/kg)_Nadu 2,63.6,62,65,108.2,8.06,0,3,63.5
9/10/2015,Rice (Rs/kg)_Samba 1,92.2,90,95,108.2,8.06,0,5,92.5
9/11/2015,Potatoes (Rs/Kg)_Welimada,81,75,85,108.2,15.98,0,10,80
9/11/2015,Potatoes (Rs/Kg)_Nuwaraeliya,96,90,100,108.2,15.98,0,10,95
9/11/2015,Pulses (Rs/Kg)_Red Dhal,178.8,168,187,108.2,15.98,0,19,177.5
9/11/2015,Pulses (Rs/Kg)_Green Gram,187,185,190,108.2,15.98,0,5,187.5
9/11/2015,Pulses (Rs/Kg)_Cowpea,230,225,235,108.2,15.98,0,10,230
9/11/2015,Rice (Rs/kg)_Nadu 2,63.6,62,65,108.2,15.98,0,3,63.5
9/11/2015,Rice (Rs/kg)_Samba 1,91.8,90,95,108.2,15.98,0,5,92.5
9/11/2015,Rice (Rs/kg)_Samba 2,84,83,85,108.2,15.98,0,2,84
9/11/2015,Onion (Rs/Kg)_Vedalan,84,80,90,108.2,15.98,0,10,85
9/11/2015,Rice (Rs/kg)_Nadu 1,68.75,67,70,108.2,15.98,0,3,68.5
9/11/2015,Onion (Rs/Kg)_Sinnan,66.67,60,70,108.2,15.98,0,10,65
9/14/2015,Potatoes (Rs/Kg)_Welimada,87,80,100,108.2,3.79,0,20,90
